algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
monte_carlo,peor,14,0.03953177999937902,0.0361553999973693,0.010941069148285363,0.0280106999998679,0.0563509999992675,174786,3.9609375
monte_carlo,peor,15,0.03236625999852542,0.0313203999976394,0.009624140886520824,0.0247789999993983,0.0485365999993518,187278,4.0078125
monte_carlo,peor,16,0.041376479997415984,0.0434695999938412,0.01232243295587735,0.0266875999950571,0.0589190000027883,231910,4.0078125
monte_carlo,peor,17,0.03711367999785574,0.0388267000016639,0.004121057770160271,0.0302299999966635,0.0408801999947172,246239,4.0234375
monte_carlo,peor,18,0.032327820001228205,0.0323408000040217,0.0009709658308487846,0.0310453999991295,0.0337320000035106,296912,4.0234375
monte_carlo,peor,19,0.035371900002064596,0.0351980000050389,0.002415565034512181,0.0330876000007265,0.0393406000002869,313504,4.0703125
monte_carlo,peor,20,0.03827913999994048,0.0377537999956985,0.000898381275231004,0.0375561000037123,0.0393853999994462,369819,5.96875
monte_carlo,peor,21,0.03930530000070572,0.0396820000023581,0.0012779415803173813,0.0379479000039282,0.0409590999988722,388026,5.984375
monte_carlo,peor,22,0.04447744000062808,0.0438012000013259,0.0010778383050962148,0.0435779000035836,0.0458426999975927,451050,5.984375
monte_carlo,peor,23,0.05538247999938898,0.0567417999991448,0.007138011787989204,0.0433658999972976,0.0615552000017487,470780,6.0
monte_carlo,peor,24,0.058416739999665825,0.0536464000033447,0.008087424469310026,0.051776799999061,0.0682079999969573,539814,6.0
monte_carlo,peor,25,0.05587713999848343,0.0544812000007368,0.005935353713232841,0.0511238999970373,0.0658412999982829,562320,6.046875
monte_carlo,peor,26,0.06126049999875246,0.061792599997716,0.004162511672128227,0.0573351999992155,0.0674615999960224,636684,6.046875
monte_carlo,promedio,4,0.0027911199998924933,0.0030681999996886,0.0016149476962175906,2.2599997464567423e-05,0.0040707000007387,6,3.3328125
monte_carlo,promedio,5,0.0012192599970148584,2.75999991572462e-05,0.001657639574767045,1.6699996194802225e-05,0.0033703999943099,10,3.565625
monte_carlo,promedio,6,0.0018406400020466885,5.1200004236307e-05,0.002494197309641687,3.8100006349850446e-05,0.0051146999976481,28,3.740625
monte_carlo,promedio,7,3.069999947911128e-05,2.919999678852037e-05,1.2175798528919962e-05,1.8300001102034003e-05,4.960000660503283e-05,20,3.834375
monte_carlo,promedio,8,6.16800010902744e-05,2.680000034160912e-05,6.034133516715762e-05,1.960000372491777e-05,0.0001619999966351,25,3.834375
monte_carlo,promedio,9,6.710000016027997e-05,2.680000034160912e-05,7.016470105320598e-05,1.9099999917671084e-05,0.0001851000051829,25,3.8546875
monte_carlo,promedio,10,6.27600005827704e-05,2.75999991572462e-05,5.842861294500828e-05,2.0500003302004188e-05,0.0001525999978184,40,3.8984375
monte_carlo,promedio,11,3.8040001527406275e-05,2.950000634882599e-05,1.5714897600644828e-05,2.179999864893034e-05,5.8099998568650335e-05,55,3.9140625
monte_carlo,promedio,12,5.839999794260846e-05,5.609999789157882e-05,3.241234573321853e-05,2.249999670311809e-05,0.000100500001281,57,3.9140625
monte_carlo,promedio,13,5.146000039530918e-05,4.410000110510737e-05,2.6308608789138018e-05,2.3500004317611456e-05,8.72999953571707e-05,73,3.9359375
monte_carlo,promedio,14,8.41799992485704e-05,8.150000212481245e-05,3.5335634545243864e-05,4.829999670619145e-05,0.0001262000005226,93,3.959375
monte_carlo,promedio,15,6.17600016994276e-05,2.6599998818710446e-05,6.728735339505438e-05,2.5300003471784294e-05,0.0001807000007829,97,3.9828125
